nameTeam,avgAge,valueTeam,year,numberPlayers,nameLeague
SV Darmstadt 98,26.7,25980000,2016,39,bundesliga
Bayern Munich,23.7,777330000,2019,38,bundesliga
RB Leipzig,23,570480000,2019,38,bundesliga
Borussia Monchengladbach,25.8,254700000,2019,34,bundesliga
FC Schalke 04,24.2,221580000,2019,33,bundesliga
Eintracht Frankfurt,26.4,208980000,2019,35,bundesliga
SV Werder Bremen,26.2,135130000,2019,36,bundesliga
1.FSV Mainz 05,23.9,121580000,2019,35,bundesliga
1. FC Koln,25.3,98480000,2019,35,bundesliga
1.FC Union Berlin,26.2,41200000,2019,34,bundesliga
Borussia Dortmund,24.5,654050000,2019,37,bundesliga
Bayer 04 Leverkusen,25.1,398950000,2019,29,bundesliga
TSG 1899 Hoffenheim,26.3,226050000,2019,37,bundesliga
Hertha BSC,24.2,217200000,2019,42,bundesliga
VfL Wolfsburg,24.7,207600000,2019,38,bundesliga
SC Freiburg,25.8,122650000,2019,30,bundesliga
FC Augsburg,25.4,112950000,2019,37,bundesliga
Fortuna Dusseldorf,26.2,71780000,2019,37,bundesliga
SC Paderborn 07,25.3,28900000,2019,32,bundesliga
Bayern Munich,25.7,784880000,2018,32,bundesliga
RB Leipzig,22.6,479000000,2018,34,bundesliga
TSG 1899 Hoffenheim,24.4,336250000,2018,38,bundesliga
Borussia Monchengladbach,25.2,264300000,2018,30,bundesliga
FC Schalke 04,25.1,221300000,2018,39,bundesliga
SV Werder Bremen,25.8,168050000,2018,33,bundesliga
VfB Stuttgart,24.9,143750000,2018,34,bundesliga
SC Freiburg,25,122100000,2018,34,bundesliga
Hannover 96,25.7,91430000,2018,37,bundesliga
Borussia Dortmund,24.4,643250000,2018,34,bundesliga
Bayer 04 Leverkusen,24.6,429400000,2018,31,bundesliga
Eintracht Frankfurt,24.8,313400000,2018,47,bundesliga
VfL Wolfsburg,25.1,229250000,2018,36,bundesliga
Hertha BSC,24.4,207630000,2018,36,bundesliga
1.FSV Mainz 05,24.7,159730000,2018,35,bundesliga
FC Augsburg,24.9,139250000,2018,40,bundesliga
Fortuna Dusseldorf,26.3,94950000,2018,34,bundesliga
1.FC Nuremberg,25.2,54400000,2018,29,bundesliga
Bayern Munich,24.7,811850000,2017,38,bundesliga
RB Leipzig,24.1,373300000,2017,28,bundesliga
FC Schalke 04,25.5,274350000,2017,29,bundesliga
Borussia Monchengladbach,24.6,193250000,2017,35,bundesliga
VfB Stuttgart,24.7,134700000,2017,34,bundesliga
Eintracht Frankfurt,25,126150000,2017,36,bundesliga
SC Freiburg,25.5,100600000,2017,36,bundesliga
1.FSV Mainz 05,25.3,98350000,2017,33,bundesliga
1. FC Koln,24.5,91730000,2017,38,bundesliga
Borussia Dortmund,25,574200000,2017,35,bundesliga
Bayer 04 Leverkusen,25.3,357350000,2017,27,bundesliga
TSG 1899 Hoffenheim,24.1,212750000,2017,36,bundesliga
VfL Wolfsburg,24.3,143600000,2017,33,bundesliga
Hertha BSC,24.9,131449999,2017,32,bundesliga
SV Werder Bremen,25.6,107150000,2017,33,bundesliga
FC Augsburg,25.6,100450000,2017,33,bundesliga
Hannover 96,25.9,92950000,2017,30,bundesliga
Hamburger SV,24.5,62400000,2017,34,bundesliga
Bayern Munich,24.8,556880000,2013,33,bundesliga
FC Schalke 04,24.4,203250000,2013,38,bundesliga
VfL Wolfsburg,25.3,155230000,2013,36,bundesliga
VfB Stuttgart,25,108300000,2013,35,bundesliga
TSG 1899 Hoffenheim,23.7,97400000,2013,43,bundesliga
Hannover 96,25.2,80230000,2013,36,bundesliga
Hertha BSC,25.9,68080000,2013,32,bundesliga
1.FSV Mainz 05,26.6,59450000,2013,32,bundesliga
FC Augsburg,25.2,45950000,2013,35,bundesliga
Borussia Dortmund,24.7,326050000,2013,31,bundesliga
Bayer 04 Leverkusen,24.3,175880000,2013,35,bundesliga
Borussia Monchengladbach,25,111380000,2013,28,bundesliga
Hamburger SV,24.9,102780000,2013,34,bundesliga
Eintracht Frankfurt,24.7,86200000,2013,33,bundesliga
SC Freiburg,23.7,71680000,2013,35,bundesliga
SV Werder Bremen,23.7,66400000,2013,39,bundesliga
1.FC Nuremberg,24.2,56450000,2013,33,bundesliga
Eintracht Braunschweig,25.9,28580000,2013,33,bundesliga
Bayern Munich,25.3,462400000,2012,29,bundesliga
FC Schalke 04,24.8,181550000,2012,34,bundesliga
VfL Wolfsburg,25.8,109000000,2012,36,bundesliga
VfB Stuttgart,25.4,93130000,2012,34,bundesliga
Hannover 96,25.6,83150000,2012,35,bundesliga
SV Werder Bremen,23.5,78000000,2012,32,bundesliga
SC Freiburg,24.1,65800000,2012,32,bundesliga
1.FC Nuremberg,24.1,46830000,2012,32,bundesliga
SpVgg Greuther Furth,24.8,33330000,2012,37,bundesliga
Borussia Dortmund,24.2,302300000,2012,31,bundesliga
Bayer 04 Leverkusen,23.6,155300000,2012,33,bundesliga
